title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
"X Token Has Nothing To Do With Elon Musk's Rebranded Twitter, But It's Shot Up 1800%",https://www.benzinga.com/markets/cryptocurrency/23/07/33336727/x-token-has-nothing-to-do-with-elon-musks-rebranded-twitter-but-its-shot-up-1800,20230724T034453,['Mehab Qureshi'],"A token, unrelated to Elon Musk's X.com, has witnessed an incredible surge of 1800% within a mere 24-hour window, outperforming top cryptocurrencies like Bitcoin BTC/USD and Ethereum ETH/USD",https://cdn.benzinga.com/files/images/story/2023/Cryptocurrency_Photo_by_Igor_Faun_on_Shutterstock_11.jpeg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Blockchain', 'relevance_score': '0.451494'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '1.0'}]",0.178772,Somewhat-Bullish,"[{'ticker': 'BLBD', 'relevance_score': '0.097062', 'ticker_sentiment_score': '0.16814', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.374312', 'ticker_sentiment_score': '0.214247', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.285526', 'ticker_sentiment_score': '0.176229', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:DOGE', 'relevance_score': '0.097062', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
"Bitcoin, Ethereum, Dogecoin See Uptick Ahead Of Fed Policy Meet: Analyst Sees Big Sell-Off For Altcoins, But Says This Crypto Could Be Exception",https://www.benzinga.com/markets/cryptocurrency/23/07/33336530/bitcoin-ethereum-dogecoin-see-uptick-ahead-of-fed-policy-meet-analyst-sees-big-sell-off-fo,20230724T021328,['Mehab Qureshi'],"Major cryptocurrencies saw a slight uptick on Sunday evening, with investors closely monitoring upcoming events such as the Federal Reserve's potential interest rate hike and the expiration of Bitcoin options next week.",https://cdn.benzinga.com/files/images/story/2023/Cryptocurrency_Photo_by_FellowNeko_on_Shutterstock_10.jpeg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Blockchain', 'relevance_score': '0.576289'}]",0.133736,Neutral,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.362065', 'ticker_sentiment_score': '0.035943', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.18602', 'ticker_sentiment_score': '0.164056', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Sleeping Bitcoin wallet stirs after 11 years, moving over $30M",https://cointelegraph.com/news/dormant-bitcoin-btc-wallet-moves-millions-after-11-years,20230724T011742,['Brayden Lindrea'],"The anonymous Bitcoin whale is up over 600,000% from their 2011 purchase of BTC at $4.92.",https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjMtMDcvNzc2YWE4NDktOGFmNy00NGMzLThhMTEtYjkxNmVmNTQ1YzcyLmpwZw==.jpg,Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Blockchain', 'relevance_score': '0.576289'}]",0.112138,Neutral,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.993122', 'ticker_sentiment_score': '0.190598', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
3 reasons countries around the world want to break up with the dollar,https://www.businessinsider.com/de-dollarization-reasons-why-countries-move-away-us-dollar-2023-7,20230724T004600,['Huileng Tan'],De-dollarization: 3 reasons why nations want to break up with the USD - Business Insider ...,,Business Insider,GoogleRSS,www.businessinsider.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.890401'}, {'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}]",-0.114166,Neutral,"[{'ticker': 'ALIZF', 'relevance_score': '0.087663', 'ticker_sentiment_score': '-0.070141', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:UYU', 'relevance_score': '0.043898', 'ticker_sentiment_score': '-0.364217', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'FOREX:INR', 'relevance_score': '0.043898', 'ticker_sentiment_score': '0.108952', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:CNY', 'relevance_score': '0.043898', 'ticker_sentiment_score': '0.062561', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.525759', 'ticker_sentiment_score': '-0.214455', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.043898', 'ticker_sentiment_score': '0.062561', 'ticker_sentiment_label': 'Neutral'}]"
Husband-wife 'crypto-couple' reach plea deal in $4.5 billion bitcoin heist,https://www.marketwatch.com/story/husband-wife-crypto-couple-reach-plea-deal-in-4-5-billion-bitcoin-heist-f493f636,20230724T002700,['Lukas I. Alpert'],Ilya Lichtenstein and Heather Morgan had faced up to 25 years in prison on charges of money laundering and fraud ...,https://images.mktw.net/im-482772/social,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",-0.168837,Somewhat-Bearish,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.323078', 'ticker_sentiment_score': '-0.093279', 'ticker_sentiment_label': 'Neutral'}]"
'Futurama' Review: Latest Go-Round Mines the Past,https://www.nytimes.com/2023/07/23/arts/television/futurama-reboot-review.html,20230723T215929,['Mike Hale'],'Futurama' Review: Hulu's Reboot Returns The New York Times ...,https://static01.nyt.com/images/2023/07/23/multimedia/23futurama-fhmp/23futurama-fhmp-articleLarge.jpg?quality=75&auto=webp&disable=upscale,New York Times,GoogleRSS,www.nytimes.com,[],0.178915,Somewhat-Bullish,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.053629', 'ticker_sentiment_score': '0.178', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Crypto Analyst Says Solana Could Skyrocket By Over 870% Once Ethereum's Bull Run Starts,https://www.benzinga.com/markets/cryptocurrency/23/07/33335793/crypto-analyst-says-solana-could-skyrocket-by-over-870-once-ethereums-bull-run-starts,20230723T195807,['Bibhu Pattnaik'],"James Mullarney, the host of InvestAnswers, says that Solana SOL/USD could come close to its all-time high once Ethereum ETH/USD kicks off its bull market. What Happened: In a YouTube video, Mullarney said that Solana could go up to $250, an increase of more than 870% from its current price of ...",https://cdn.benzinga.com/files/images/story/2023/07/23/solana.jpg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.2268,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.116914', 'ticker_sentiment_score': '0.090644', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.340915', 'ticker_sentiment_score': '0.146563', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.814341', 'ticker_sentiment_score': '0.279643', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:SOL', 'relevance_score': '0.116914', 'ticker_sentiment_score': '0.166251', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Alphapo hot wallets hacked for over $31 million,https://cointelegraph.com/news/alphapo-hot-wallets-hacked-for-over-31-million,20230723T190259,['Ana Paula Pereira'],The funds have been reportedly taken on the Ethereum blockchain. The number of Bitcoins stolen remains uncertain.,https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjMtMDcvYTFjYzc4ZjAtZjZiMy00NzcwLWEyN2YtZTA0YTQwNGFjYWIwLmpwZw==.jpg,Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Blockchain', 'relevance_score': '0.158519'}]",-0.119356,Neutral,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.328819', 'ticker_sentiment_score': '-0.257724', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.60415', 'ticker_sentiment_score': '-0.423513', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'CRYPTO:TRX', 'relevance_score': '0.112532', 'ticker_sentiment_score': '-0.087893', 'ticker_sentiment_label': 'Neutral'}]"
This Week on Crypto Twitter: Xi Jinping NFT Delisted from OpenSea,https://decrypt.co/149704/this-week-on-crypto-twitter-defi-hacks-justin-sun-chainlink-opepen,20230723T183102,['Tim Hakki'],"Also, a pair of crypto law experts tweeted their disappointment over recent crypto policy moves in Washington.",https://img.decrypt.co/insecure/rs:fit:1536:0:0:0/plain/https://cdn.decrypt.co/wp-content/uploads/2021/11/twweet3.1%402x.png@webp,Decrypt.co,n/a,decrypt.co,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.576289'}, {'topic': 'Financial Markets', 'relevance_score': '0.310843'}]",0.011987,Neutral,"[{'ticker': 'BLK', 'relevance_score': '0.16171', 'ticker_sentiment_score': '0.091617', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.081276', 'ticker_sentiment_score': '0.070232', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.240489', 'ticker_sentiment_score': '0.001824', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.081276', 'ticker_sentiment_score': '-0.072273', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:LINK', 'relevance_score': '0.16171', 'ticker_sentiment_score': '0.120976', 'ticker_sentiment_label': 'Neutral'}]"
"Bitcoin's dull price action ignites buying interest in LINK, FIL, SNX and THETA",https://cointelegraph.com/news/bitcoin-s-dull-price-action-ignites-buying-interest-in-link-fil-snx-and-theta,20230723T181001,['Rakesh Upadhyay'],"LINK, FIL, SNX and THETA are starting to look bullish right as Bitcoin prepares for a volatile price move.",https://s3.cointelegraph.com/uploads/2023-07/b97e83be-e310-4dd2-9ba7-f6c23036baee.png,Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Blockchain', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]",0.060082,Neutral,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.166858', 'ticker_sentiment_score': '0.077755', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:FIL', 'relevance_score': '0.100588', 'ticker_sentiment_score': '0.043948', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:LINK', 'relevance_score': '0.100588', 'ticker_sentiment_score': '0.053576', 'ticker_sentiment_label': 'Neutral'}]"
