title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
"Bitcoin on $3K discount at Binance.US, but there's a catch",https://cointelegraph.com/news/bitcoin-btc-discount-binance-us-but-theres-a-catch,20230710T041851,[],"Bitcoin is selling for just over $27,500 on Binance.US, a nearly $3,000 discount from global spot prices.",https://s3.cointelegraph.com/uploads/2023-07/08893c4c-9cad-409c-b69f-1db88ef73757.jpg,Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Blockchain', 'relevance_score': '0.928139'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]",0.047066,Neutral,"[{'ticker': 'FOREX:AUD', 'relevance_score': '0.252987', 'ticker_sentiment_score': '-0.113577', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.853391', 'ticker_sentiment_score': '0.053281', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.481177', 'ticker_sentiment_score': '-0.101073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.128135', 'ticker_sentiment_score': '0.049945', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:USDT', 'relevance_score': '0.128135', 'ticker_sentiment_score': '0.049945', 'ticker_sentiment_label': 'Neutral'}]"
"MiCA's stablecoin transaction cap stifles crypto adoption, say lawyers",https://cointelegraph.com/news/eu-mica-stablecoin-cap-could-stifle-crypto-adoption,20230710T040900,[],"With a $216 million cap to be imposed on stablecoins such as USDT and USDC, some say crypto adoption could be ""stifled"" under MiCA unless it changes.",https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjMtMDcvODI3ZDVmM2EtYjNlOS00ODEwLTg0YzQtZGE4ZmQ5OGE1ZmQ5LmpwZw==.jpg,Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Blockchain', 'relevance_score': '0.999326'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.031251,Neutral,"[{'ticker': 'FOREX:USD', 'relevance_score': '0.118354', 'ticker_sentiment_score': '-0.001153', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.118354', 'ticker_sentiment_score': '0.010399', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.118354', 'ticker_sentiment_score': '0.010399', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:USDT', 'relevance_score': '0.176717', 'ticker_sentiment_score': '0.065747', 'ticker_sentiment_label': 'Neutral'}]"
Biden Challenger Robert F. Kennedy Jr Reportedly Holds Bitcoin Worth $101K-$250K,https://www.benzinga.com/markets/cryptocurrency/23/07/33159269/biden-challenger-robert-f-kennedy-jr-reportedly-holds-bitcoin-worth-101k-250k,20230710T035305,['Mehab Qureshi'],"Democratic presidential candidate Robert F. Kennedy Jr is reportedly a Bitcoin BTC/USD holder. What Happened: According to a financial disclosure form he filed June 30, there was a brokerage account holding between $100,001 and $250,000 worth of Bitcoin.",https://cdn.benzinga.com/files/images/story/2023/Robert_F._Kennedy_Jr_Photo_by_In_The_Light_Photography_on_Shutterstock_11.jpeg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",0.02383,Neutral,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.757528', 'ticker_sentiment_score': '0.058919', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.103331', 'ticker_sentiment_score': '-0.360099', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'CRYPTO:DOGE', 'relevance_score': '0.103331', 'ticker_sentiment_score': '-0.360099', 'ticker_sentiment_label': 'Bearish'}]"
"Bitcoin, Ethereum, Dogecoin Drop Amid Mixed Signals From US Labor Market",https://www.benzinga.com/markets/cryptocurrency/23/07/33159138/bitcoin-ethereum-dogecoin-drop-as-mixed-signals-emerge-from-us-labor-market-analyst-warns-,20230710T022313,['Mehab Qureshi'],"Major cryptocurrencies traded in the red on Sunday evening amid mixed signals from the U.S. labor market. What Happened: In June, nonfarm payrolls ( NFPs ) increased by 209,000, as reported by the Bureau of Labor Statistics.",https://cdn.benzinga.com/files/images/story/2023/Cryptocurrency_Photo_by_Matt_Benzero_on_Shutterstock_7.jpeg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.818451'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}]",0.06718,Neutral,"[{'ticker': 'BLK', 'relevance_score': '0.082111', 'ticker_sentiment_score': '-0.17698', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'JPM', 'relevance_score': '0.082111', 'ticker_sentiment_score': '-0.192421', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.463792', 'ticker_sentiment_score': '0.347978', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Crypto Code Commits Drop Despite Rising Prices,https://decrypt.co/147853/open-source-crypto-developer-statistics,20230709T235012,['Decrypt / André Beganski'],A decrease in the amount of development activity could be attributed to the explosive popularity of artificial intelligence technologies.,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2021/09/software-developers-gID_7.jpg,Decrypt.co,n/a,decrypt.co,"[{'topic': 'Finance', 'relevance_score': '1.0'}]",0.23811,Somewhat-Bullish,"[{'ticker': 'JPM', 'relevance_score': '0.072655', 'ticker_sentiment_score': '0.079513', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.072655', 'ticker_sentiment_score': '0.043246', 'ticker_sentiment_label': 'Neutral'}]"
Tradfi firms eye crypto push as regulators crack down,https://www.fnlondon.com/articles/tradfi-firms-eye-crypto-push-as-regulators-crack-down-20230710,20230709T230233,['Paul Clarke and Bilal Jafar'],"When the price of bitcoin surged in 2018, banks including Goldman Sachs and Barclays explored setting up crypto trading desks and portfolio managers quit fund management giants to launch hedge funds focused on the sector. These plans were quickly shelved.",https://www.fnlondon.com/icons/social-icon.png,Financial News London,n/a,www.fnlondon.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}]",0.140006,Neutral,"[{'ticker': 'GS', 'relevance_score': '0.428632', 'ticker_sentiment_score': '0.046121', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCS', 'relevance_score': '0.428632', 'ticker_sentiment_score': '0.046121', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.428632', 'ticker_sentiment_score': '0.046121', 'ticker_sentiment_label': 'Neutral'}]"
Tradfi firms eye crypto push as regulators crack down,https://www.fnlondon.com/amp/articles/tradfi-firms-eye-crypto-push-as-regulators-crack-down-20230710,20230709T230218,['Paul Clarke and Bilal Jafar'],"When the price of bitcoin surged in 2018, banks including Goldman Sachs and Barclays explored setting up crypto trading desks and portfolio managers quit fund management giants to launch hedge funds focused on the sector. These plans were quickly shelved.",https://www.fnlondon.com/icons/social-icon.png,Financial News London,n/a,www.fnlondon.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}]",0.140006,Neutral,"[{'ticker': 'GS', 'relevance_score': '0.428632', 'ticker_sentiment_score': '0.046121', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCS', 'relevance_score': '0.428632', 'ticker_sentiment_score': '0.046121', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.428632', 'ticker_sentiment_score': '0.046121', 'ticker_sentiment_label': 'Neutral'}]"
Crypto Booster Robert F. Kennedy Jr. Bought Bitcoin Despite Recent Claim: Report,https://decrypt.co/147843/robert-f-kennedy-hodl-bought-own-bitcoin,20230709T194244,['Decrypt / André Beganski'],Kennedy's campaign also flip-flopped on who in his family owned the classic cryptocurrency.,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2023/05/DSCF6578-scaled-gID_7.jpg,Decrypt.co,n/a,decrypt.co,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]",0.214141,Somewhat-Bullish,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.860397', 'ticker_sentiment_score': '0.336393', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Ethereum Inventor Vitalik Buterin Has Advice for Bitcoiners,https://decrypt.co/147842/ethereum-inventor-vitalik-buterin-bitcoin-advice,20230709T193147,['Decrypt / Pedro Solimano'],"If Bitcoin wants to become more than payments, it needs to experiment more, says the blockchain innovator.",https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2023/07/Vitalik-Eric-Udi-RKO-gID_7.jpg,Decrypt.co,n/a,decrypt.co,"[{'topic': 'Blockchain', 'relevance_score': '0.310843'}]",0.066663,Neutral,"[{'ticker': 'CRYPTO:BTC', 'relevance_score': '0.531019', 'ticker_sentiment_score': '0.108559', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.531019', 'ticker_sentiment_score': '0.264619', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Bitcoin price gathers strength as SOL, AVAX, FIL and EOS prep for a breakout",https://cointelegraph.com/news/bitcoin-price-gathers-strength-as-sol-avax-fil-and-eos-prep-for-a-breakout,20230709T183411,[],"SOL, AVAX, FIL and EOS price are beginning to look attractive, especially if Bitcoin opens the week with a renewed attack on the $31,000 level.",https://s3.cointelegraph.com/uploads/2023-07/87ed1eb5-97e2-49d2-bd54-753aa0503517.png,Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.976913'}, {'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}]",-0.026522,Neutral,"[{'ticker': 'BLK', 'relevance_score': '0.032558', 'ticker_sentiment_score': '0.135886', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.032558', 'ticker_sentiment_score': '-0.06619', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.224903', 'ticker_sentiment_score': '-0.082282', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:FIL', 'relevance_score': '0.097457', 'ticker_sentiment_score': '0.095287', 'ticker_sentiment_label': 'Neutral'}]"
